start_date(DD/MM/YYYY HH:MM:SS),distance(m),moving_time(HH:MM:SS),route
01/01/2019 01:12:55,15558.1,00:51:37,"[[20.28302, 72.99185], [20.28249, 72.99185], [20.282899999999998, 72.99372], [20.282089999999997, 72.99448], [20.282179999999997, 72.99898999999999], [20.2766, 73.00269999999999], [20.27116, 73.00420999999999], [20.270169999999997, 73.00818999999998], [20.269919999999995, 73.01154999999999], [20.268849999999997, 73.01443999999998], [20.267459999999996, 73.01669999999999], [20.265139999999995, 73.01969999999999], [20.262509999999995, 73.02159999999999], [20.259109999999996, 73.02698], [20.250289999999996, 73.03325], [20.248579999999997, 73.03383], [20.248459999999998, 73.03412], [20.251279999999998, 73.03596], [20.2505, 73.03719000000001], [20.2502, 73.03701000000001], [20.25084, 73.03617000000001], [20.25049, 73.03563000000001], [20.24985, 73.0357], [20.24954, 73.03641], [20.25064, 73.03668], [20.25083, 73.03598000000001], [20.2504, 73.03558000000001], [20.24984, 73.03574], [20.24936, 73.03676], [20.25054, 73.03719], [20.25129, 73.036], [20.24849, 73.03383], [20.250320000000002, 73.03318], [20.25318, 73.03097], [20.25288, 73.0302], [20.253500000000003, 73.03080999999999], [20.259330000000002, 73.02674999999999], [20.262510000000002, 73.02148999999999], [20.265280000000004, 73.01937999999998], [20.268280000000004, 73.01501999999998], [20.268760000000004, 73.01524999999998], [20.268440000000005, 73.01475999999998], [20.269870000000004, 73.01139999999998], [20.269970000000004, 73.00901999999998], [20.271100000000004, 73.00402999999997], [20.276400000000002, 73.00253999999997], [20.282180000000004, 72.99877999999997], [20.281900000000004, 72.99475999999997], [20.282850000000003, 72.99352999999996], [20.282480000000003, 72.99184999999997], [20.283100000000005, 72.99139999999997]]"
01/01/2019 01:25:55,11654,00:39:14,"[[12.96455, 77.53573], [12.96847, 77.53762], [12.96627, 77.54521], [12.96681, 77.54688999999999], [12.964820000000001, 77.54884999999999], [12.964030000000001, 77.55057999999998], [12.964490000000001, 77.55199999999998], [12.96409, 77.55663999999997], [12.96329, 77.55838999999997], [12.96291, 77.55853999999998], [12.96273, 77.56018999999998], [12.961440000000001, 77.55959999999997], [12.961800000000002, 77.56261999999998], [12.964430000000002, 77.57009999999998], [12.964820000000001, 77.57521999999999], [12.964260000000001, 77.57690999999998], [12.964440000000002, 77.57783999999998], [12.963860000000002, 77.58491999999998], [12.965510000000002, 77.58680999999999], [12.962730000000002, 77.59007999999999], [12.962270000000002, 77.59347999999999], [12.962500000000002, 77.59490999999998], [12.961480000000002, 77.59932999999998], [12.958020000000001, 77.60595999999998], [12.951490000000002, 77.60527999999998], [12.941450000000001, 77.60850999999998], [12.937050000000001, 77.61093999999999], [12.936720000000001, 77.61301999999999], [12.935920000000001, 77.61286999999999], [12.93593, 77.61250999999999]]"
01/01/2019 01:33:11,4012,00:21:09,"[[11.08677, 77.0059], [11.08678, 77.00578], [11.08676, 77.00566], [11.08677, 77.00561], [11.08673, 77.00540000000001], [11.08673, 77.00524000000001], [11.08668, 77.00475000000002], [11.08668, 77.00464000000001], [11.08666, 77.00453], [11.08661, 77.00397000000001], [11.08656, 77.00380000000001], [11.086540000000001, 77.00376000000001], [11.086480000000002, 77.00373000000002], [11.086140000000002, 77.00371000000001], [11.085900000000002, 77.00366000000001], [11.085880000000003, 77.00355], [11.085890000000003, 77.00302], [11.085880000000003, 77.00217], [11.085770000000004, 77.00214000000001], [11.085140000000004, 77.00219000000001], [11.085090000000005, 77.00215000000001], [11.085060000000004, 77.00209000000001], [11.085050000000004, 77.00199], [11.085020000000004, 77.00195000000001], [11.084970000000004, 77.00193], [11.084490000000004, 77.00188], [11.083670000000005, 77.00183], [11.083530000000005, 77.00196], [11.083500000000004, 77.00201], [11.083470000000004, 77.00224], [11.083450000000004, 77.00235], [11.083410000000004, 77.00239], [11.083360000000004, 77.00241000000001], [11.083120000000005, 77.00240000000001], [11.082590000000005, 77.00242000000001], [11.081970000000005, 77.00242000000001], [11.081930000000005, 77.00238000000002], [11.081880000000005, 77.00219000000001], [11.081820000000006, 77.00172], [11.081780000000006, 77.00157], [11.081840000000005, 77.00147], [11.082180000000005, 77.00112], [11.082580000000005, 77.00078], [11.082960000000005, 77.00051], [11.084800000000005, 76.99931000000001], [11.086010000000005, 76.99838000000001], [11.086030000000004, 76.99819000000001], [11.086010000000005, 76.99784000000001], [11.086110000000005, 76.99770000000001], [11.086470000000006, 76.99758000000001], [11.087080000000006, 76.99746000000002], [11.087430000000005, 76.99742000000002], [11.088350000000005, 76.99744000000003], [11.089600000000006, 76.99743000000002], [11.090030000000006, 76.99742000000002], [11.091230000000007, 76.99733000000002], [11.092530000000007, 76.99727000000001], [11.092950000000007, 76.99723000000002], [11.093460000000007, 76.99712000000001], [11.093930000000007, 76.99699000000001], [11.094010000000008, 76.99696000000002], [11.094070000000007, 76.99679000000002], [11.094130000000007, 76.99673000000001], [11.094210000000007, 76.99668000000001], [11.094310000000007, 76.99664000000001], [11.094360000000007, 76.99665000000002], [11.095210000000007, 76.99659000000001], [11.095850000000008, 76.99650000000001], [11.096320000000008, 76.99638000000002], [11.096970000000008, 76.99618000000001], [11.097040000000007, 76.99611000000002], [11.097330000000007, 76.99611000000002], [11.099200000000007, 76.99616000000002], [11.100560000000007, 76.99616000000002], [11.100940000000007, 76.99620000000002], [11.101630000000007, 76.99632000000001], [11.101660000000008, 76.99631000000001], [11.101740000000008, 76.99538000000001], [11.101750000000008, 76.99468000000002], [11.101770000000007, 76.99448000000001], [11.101850000000008, 76.99444000000001], [11.101880000000008, 76.99427000000001], [11.101870000000009, 76.99417000000001], [11.10190000000001, 76.99394000000001], [11.10200000000001, 76.99283000000001], [11.102110000000009, 76.99280000000002], [11.10214000000001, 76.99274000000001], [11.10217000000001, 76.99262000000002], [11.10215000000001, 76.99252000000001], [11.10219000000001, 76.99246000000001], [11.10224000000001, 76.99243000000001], [11.102280000000011, 76.99246000000001], [11.102260000000012, 76.99241], [11.102260000000012, 76.99239], [11.102300000000012, 76.99239], [11.102320000000011, 76.99233], [11.10234000000001, 76.99224], [11.10238000000001, 76.99244], [11.10235000000001, 76.99242], [11.10234000000001, 76.99237], [11.10224000000001, 76.99242]]"
01/01/2019 02:16:03,2597.4,00:41:33,"[[12.91859, 77.63022], [12.91886, 77.63042], [12.919260000000001, 77.62893], [12.916970000000001, 77.62861], [12.916900000000002, 77.63031], [12.917740000000002, 77.63055], [12.918050000000003, 77.62994], [12.918270000000003, 77.62909], [12.917780000000004, 77.62892000000001], [12.917440000000004, 77.62933000000001], [12.917460000000004, 77.62886], [12.917490000000004, 77.62952], [12.918080000000005, 77.62966], [12.917890000000005, 77.63045], [12.918420000000005, 77.63020999999999]]"
01/01/2019 02:31:43,11599.7,00:35:42,"[[13.05943, 77.5042], [13.06023, 77.50468], [13.05996, 77.50695999999999], [13.05238, 77.50792999999999], [13.04933, 77.50768], [13.04726, 77.5081], [13.04544, 77.50754], [13.042489999999999, 77.51477000000001], [13.03384, 77.51263000000002], [13.03157, 77.51290000000002], [13.02849, 77.51217000000001], [13.024989999999999, 77.51110000000001], [13.024469999999999, 77.50958000000001], [13.031989999999999, 77.51048000000002], [13.036419999999998, 77.51031000000002], [13.035939999999998, 77.51306000000002], [13.0339, 77.51266000000003], [13.03154, 77.51297000000002], [13.025079999999999, 77.51113000000002], [13.024429999999999, 77.50959000000002], [13.031959999999998, 77.51050000000002], [13.036479999999997, 77.51040000000002], [13.035919999999997, 77.51308000000002], [13.033769999999997, 77.51265000000002], [13.031449999999998, 77.51298000000003], [13.024999999999999, 77.51112000000003], [13.024469999999999, 77.50953000000004], [13.026869999999999, 77.50980000000004], [13.026969999999999, 77.51058000000005]]"
01/01/2019 02:34:03,14632.4,00:42:55,"[[12.89456, 77.58772], [12.89502, 77.58818000000001], [12.89504, 77.58629], [12.892809999999999, 77.58638], [12.892779999999998, 77.58734000000001], [12.891389999999998, 77.58786], [12.892279999999998, 77.59023], [12.891439999999998, 77.59213000000001], [12.890459999999997, 77.59803000000001], [12.887689999999997, 77.59705000000001], [12.873259999999997, 77.59447000000002], [12.872599999999997, 77.59615000000001], [12.870079999999996, 77.59679000000001], [12.869029999999997, 77.59761000000002], [12.864989999999997, 77.59834000000002], [12.863199999999997, 77.59982000000002], [12.861729999999998, 77.59977000000002], [12.860929999999998, 77.60611000000002], [12.860109999999999, 77.60638000000002], [12.859549999999999, 77.61125000000001], [12.858839999999999, 77.61111000000001], [12.85849, 77.61171000000002], [12.8545, 77.60947000000002], [12.85126, 77.60900000000001], [12.84614, 77.60929000000002], [12.845, 77.61039000000001], [12.84379, 77.61221], [12.84252, 77.61839], [12.83628, 77.62513], [12.83732, 77.62691], [12.8386, 77.62777], [12.84019, 77.63145], [12.84154, 77.6317], [12.84163, 77.6327], [12.84289, 77.63287], [12.843900000000001, 77.63485], [12.842640000000001, 77.64148], [12.84345, 77.64423000000001], [12.84173, 77.64425000000001], [12.84158, 77.64511000000002], [12.84193, 77.64577000000001], [12.841339999999999, 77.64878000000002], [12.84048, 77.65209000000002], [12.83922, 77.65438000000002]]"
01/01/2019 03:03:23,4185,00:16:45,"[[12.95289, 77.71527], [12.95585, 77.7148], [12.96206, 77.71667], [12.965399999999999, 77.71843], [12.96525, 77.71936], [12.966569999999999, 77.71929], [12.96745, 77.72027], [12.96753, 77.72132], [12.96785, 77.72155000000001], [12.96883, 77.72170000000001], [12.97194, 77.72074], [12.97197, 77.7226], [12.971110000000001, 77.72678], [12.97648, 77.72731], [12.97606, 77.73135]]"
01/01/2019 03:54:32,2432,00:08:17,"[[12.83362, 77.66241], [12.83459, 77.66425], [12.83587, 77.66413999999999], [12.83611, 77.66399999999999], [12.83567, 77.66302999999999], [12.83909, 77.66279999999999], [12.83934, 77.66355999999999], [12.84138, 77.66296999999999], [12.84311, 77.66196999999998], [12.843499999999999, 77.66029999999998], [12.845109999999998, 77.66022999999998], [12.845419999999999, 77.66161999999998], [12.84724, 77.66127999999999], [12.8461, 77.66112]]"
01/01/2019 04:01:02,6920.4,00:23:59,"[[12.89207, 77.6037], [12.89289, 77.59886], [12.90052, 77.60102], [12.90511, 77.60176], [12.9083, 77.6002], [12.911430000000001, 77.59993], [12.93045, 77.60059], [12.94439, 77.60292], [12.94408, 77.60538], [12.94295, 77.60504]]"
01/01/2019 04:31:20,7974.2,00:21:32,"[[12.97413, 77.71405], [12.975330000000001, 77.71293], [12.974760000000002, 77.71096], [12.972550000000002, 77.71164], [12.972030000000002, 77.71143000000001], [12.973230000000003, 77.70921000000001], [12.973980000000003, 77.70887000000002], [12.973460000000003, 77.70751000000001], [12.974200000000003, 77.70708000000002], [12.974430000000003, 77.70404000000002], [12.973460000000003, 77.70317000000001], [12.972410000000004, 77.70008000000001], [12.973180000000003, 77.69884000000002], [12.974720000000003, 77.69778000000002], [12.967490000000003, 77.70215000000002], [12.966560000000003, 77.70233000000002], [12.956720000000002, 77.70126000000002], [12.948200000000002, 77.69930000000002], [12.943100000000001, 77.69764000000002], [12.93955, 77.69544000000002], [12.93989, 77.69528000000003], [12.94231, 77.69667000000003], [12.942350000000001, 77.69562000000002], [12.941510000000001, 77.69504000000002], [12.941440000000002, 77.69421000000003], [12.942060000000001, 77.69155000000002], [12.942810000000001, 77.69032000000001]]"
